4,1,63,12,23,18,27,16,81,44,10,22,31,87,30,5,14,55,7,6
117.099,119.392,124.644,142.352,132.195,139.485,141.221,128.48,120.807,132.883,134.132,130.655,145.769,149.413,148.795,144.063,137.178,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
143.648,143.609,141.712,139.163,142.084,140.409,139.058,142.597,143.155,141.772,141.36,141.441,130.528,125.412,131.293,138.316,142.181,,,
140.423,139.654,139.485,141.111,139.612,140.973,141.111,138.85,139.873,140.418,139.952,139.381,140.986,142.075,141.609,140.976,139.493,,,
137.108,136.447,134.684,123.412,129.065,124.687,124.116,133.209,135.569,127.498,126.733,131.451,123.018,122.192,122.216,123.467,125.594,,,
96.278,96.83,97.824,98.729,98.281,98.664,98.959,98.19,97.251,98.311,98.441,98.464,100.522,102.054,100.582,100.265,98.354,,,
94.638,94.315,94.873,96.312,96.3,96.253,96.51,94.933,94.578,96.242,96.062,95.409,98.049,98.564,98.439,96.663,96.267,,,
92.13,92.65,93.587,95.27,94.494,95.14,95.044,93.539,92.672,95.107,95.527,94.433,96.474,96.411,96.614,95.625,95.569,,,
92.189,92.453,93.347,94.678,94.206,94.972,94.99,94.251,91.959,94.299,94.702,94.136,95.696,95.416,95.174,94.655,95.3,,,
91.778,91.591,92.803,95.385,93.713,94.426,94.989,93.536,91.29,93.255,94.227,93.273,94.577,95.002,94.064,94.382,94.076,,,
91.318,91.271,92.364,93.697,93.153,93.899,94.064,92.198,91.377,93.017,93.275,92.762,93.936,94.25,94.316,94.383,93.515,,,
90.795,90.639,91.856,93.802,92.717,93.097,95.018,92.448,90.555,92.992,92.859,92.434,93.526,93.732,93.617,94.102,92.664,,,
90.226,90.328,91.885,92.212,92.733,92.382,93.611,91.846,90.343,92.763,92.744,92.545,93.703,93.885,93.502,93.692,92.324,,,
89.952,90.592,91.739,97.326,92.464,92.554,93.856,91.832,90.722,92.749,92.445,92.133,93.951,93.395,93.915,94.111,92.521,,,
90.264,93.392,91.597,92.312,93.088,93.388,94.817,92.502,90.696,92.83,92.795,92.645,94.737,94.527,94.575,94.756,92.966,,,
90.146,92.169,91.74,92.181,92.981,93.631,93.796,92.614,90.143,92.877,93.124,93.444,95.309,94.527,95.002,93.892,92.698,,,
90.551,91.939,92.189,91.942,93.051,92.684,93.52,91.861,90.816,92.914,92.462,93.496,96.266,94.065,94.695,93.906,92.28,,,
90.71,91.598,91.315,91.319,92.356,92.58,93.867,91.756,90.159,92.341,92.327,92.549,94.392,94.094,93.497,93.328,92.61,,,
90.234,91.177,91.127,91.042,92.036,92.429,93.22,91.159,89.727,92.079,92.323,92.012,93.391,93.818,92.883,93.35,92.545,,,
90.3,91.04,91.029,91.887,92.053,94.269,93.185,90.695,90.214,92.041,92.355,91.567,93.533,93.59,92.08,92.734,93.282,,,
