,55,16,4,81,11,18,22,14,27,20,23,3,10,77,24,31,63,44,1
0,88.375,90.52,89.784,91.036,92.428,92.835,93.305,94.503,96.92,95.467,95.752,97.645,97.304,94.763,98.691,96.283,91.91,93.688,87.458
1,82.6,83.014,83.183,83.232,83.381,83.551,83.807,84.284,84.707,84.248,84.536,84.826,84.649,84.344,84.379,84.68,83.347,84.055,84.099
2,83.006,82.776,82.656,82.669,83.165,83.196,83.203,82.978,83.576,83.565,83.606,83.84,83.851,83.272,83.912,83.577,83.037,83.07,83.115
3,82.433,82.519,82.609,82.581,83.398,83.454,83.434,83.742,83.731,83.529,83.438,84.095,83.7,83.705,83.948,83.574,83.571,83.436,0.0
4,82.629,82.632,82.685,82.594,83.364,83.337,83.31,83.294,84.465,83.961,83.916,98.806,84.526,83.56,84.161,83.784,83.172,83.556,
5,82.572,82.673,82.632,82.582,83.024,83.027,83.445,83.196,83.747,83.954,97.861,90.576,83.912,83.122,98.941,83.841,83.119,83.165,
6,82.434,82.684,82.744,82.877,82.804,83.019,82.864,82.795,83.868,97.945,88.447,84.04,83.445,83.738,91.168,83.198,82.764,96.858,
7,82.303,82.983,82.63,83.052,83.048,97.362,83.381,82.769,83.838,89.979,83.72,83.608,83.879,126.645,84.402,82.98,96.92,88.164,
8,82.025,96.036,82.727,96.501,82.97,87.945,98.21,83.345,83.856,83.662,83.645,83.491,83.829,89.919,83.624,97.948,88.331,82.555,
9,81.715,87.861,82.695,87.799,82.68,82.883,89.892,82.608,83.777,83.671,83.852,83.245,83.856,83.161,83.66,89.439,82.737,84.295,
10,81.938,82.647,82.936,82.728,82.921,82.718,82.898,82.939,85.07,83.322,83.254,83.083,85.397,83.44,83.447,83.339,82.716,82.444,
11,82.175,81.841,82.814,82.948,83.704,83.063,82.799,82.904,84.824,83.11,82.767,83.058,84.625,82.976,83.177,82.882,83.022,83.041,
12,82.205,82.222,83.153,82.426,83.664,83.322,83.032,83.187,83.953,83.063,83.183,82.904,84.049,83.159,83.471,82.956,83.438,83.246,
13,82.487,81.952,98.099,81.968,98.693,83.106,82.823,83.455,83.965,82.905,82.978,82.877,84.104,83.395,83.302,83.119,83.39,82.712,
14,82.62,81.735,88.205,81.961,87.909,83.45,83.336,83.138,84.281,83.668,83.027,82.83,84.1,83.329,83.329,83.091,84.086,84.141,
15,96.31,82.247,81.936,82.015,84.122,84.65,83.252,83.239,84.025,83.561,82.963,83.143,85.367,84.119,83.339,110.665,83.366,0.0,
16,103.765,97.435,98.388,96.822,103.836,103.269,103.577,108.609,114.498,104.876,104.306,104.906,117.788,105.281,104.914,107.066,101.485,,
17,89.93,88.896,87.418,88.994,84.269,86.001,84.892,90.723,87.954,83.125,84.344,85.117,89.888,82.609,84.958,82.587,87.166,,
18,81.811,81.881,82.356,81.871,81.84,83.105,82.994,82.928,82.247,82.848,83.022,83.024,83.922,82.597,83.537,82.88,82.4,,
19,81.602,81.885,81.642,82.085,81.711,82.922,83.048,82.831,82.406,82.809,82.607,83.127,83.662,82.694,83.069,82.814,82.434,,
20,81.931,82.058,81.907,81.923,82.051,82.628,82.968,82.704,82.479,82.86,83.066,83.187,83.241,82.439,83.473,82.663,83.429,,
21,81.471,81.722,81.749,82.013,81.869,82.905,82.673,82.478,82.439,83.315,83.301,83.105,83.045,82.722,83.431,82.803,82.838,,
22,81.531,81.932,81.745,81.817,81.849,82.861,82.953,82.441,82.152,84.285,83.198,83.012,82.929,82.34,83.264,82.713,83.012,,
23,81.458,81.852,81.562,81.83,81.527,82.852,83.026,82.287,82.528,83.33,83.513,83.292,83.001,82.91,83.196,82.759,82.942,,
24,81.243,81.951,81.713,81.597,81.495,82.941,83.001,82.708,82.974,83.502,83.671,83.547,82.933,82.551,83.031,82.797,82.703,,
25,81.078,82.042,81.611,82.243,82.246,83.294,83.302,82.988,83.693,83.485,83.525,83.357,83.015,83.067,83.062,82.892,82.885,,
26,81.457,81.822,81.976,82.287,81.557,83.192,83.248,83.257,83.385,83.525,97.44,83.885,82.904,82.934,83.097,82.901,83.138,,
27,81.44,81.969,81.837,82.204,82.152,83.059,83.075,82.259,83.338,83.467,89.209,83.863,82.674,82.948,83.023,83.108,83.096,,
28,81.489,82.433,81.864,83.479,82.126,83.135,83.498,81.98,83.167,83.456,82.792,97.341,82.708,82.835,82.602,83.117,82.663,,
29,81.623,82.284,81.982,82.52,82.18,83.124,83.382,82.175,83.299,83.407,82.898,90.602,82.99,82.998,82.989,83.04,82.663,,
30,81.282,81.996,81.848,82.133,82.359,83.521,83.367,82.355,83.139,83.216,82.949,82.938,82.727,83.01,82.826,82.921,82.515,,
31,81.205,81.841,81.574,81.989,82.441,83.157,83.39,82.491,82.892,83.396,82.901,82.738,83.245,82.897,83.17,82.909,82.71,,
32,81.495,82.022,81.692,82.1,82.566,83.266,83.226,82.649,82.91,97.802,83.188,82.443,83.215,82.851,83.246,82.996,82.461,,
33,81.717,95.962,81.769,82.238,82.962,83.114,83.323,82.918,83.143,88.539,83.061,82.709,83.036,86.453,83.068,85.483,82.353,,
34,81.721,87.951,81.51,82.059,99.44,83.398,83.289,85.73,97.314,82.34,83.135,83.49,83.225,83.446,116.595,83.239,82.591,,
35,82.018,81.942,81.446,82.047,87.672,83.207,97.156,82.714,87.3,82.109,84.486,85.131,82.84,98.523,88.57,84.94,82.537,,
36,81.971,80.688,81.662,81.89,81.218,97.526,89.144,82.862,81.63,82.261,82.918,82.438,83.326,88.154,82.598,82.834,82.408,,
